Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5001-1,2015-10-24,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,office supplies,Small Pack,Regular Air,2015-10-26,0.24,1.26,1.02,8.0,45.2,3.0,0.0,45.9,0.7,46.91
5004-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,office supplies,Small Box,Regular Air,2014-03-13,42.11,80.98,38.87,45.0,873.32,4.0,72.23,837.57,7.18,82.58
5009-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,office supplies,Wrap Bag,Regular Air,2013-02-20,5.33,8.6,3.27,16.0,73.52,1.0,4.35,740.67,6.19,730.92
5010-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,office supplies,Wrap Bag,Express Air,2014-09-17,1.53,2.78,1.25,49.0,138.46,7.0,5.95,123.77,1.34,125.97
5011-1,2013-11-24,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",office supplies,Wrap Bag,Regular Air,2013-11-26,4.59,7.28,2.69,45.0,197.36,8.0,12.98,183.58,11.15,189.43
5012-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,office supplies,Small Box,Regular Air,2014-09-07,1.6,2.62,1.02,45.0,65.5,4.0,5.9,59.62,0.8,60.45
5012-1,2015-01-28,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,technology,Small Box,Regular Air,2015-01-29,1.6,2.62,1.02,34.0,24.92,2.0,2.49,22.43,0.8,27.43
5014-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,office supplies,Wrap Bag,Regular Air,2014-06-10,3.99,6.23,2.24,25.0,194.36,10.0,15.93,178.12,6.97,189.45
5016-1,2013-02-11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",office supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,1.87,18.0,123.54,6.0,3.71,119.83,1.2,121.03
5019-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,office supplies,Wrap Bag,Regular Air,2013-11-20,2.29,3.69,1.4,34.0,205.6,2.0,6.16,193.54,0.5,199.4
